Date,Close/Last,Volume,Open,High,Low,count,normalized,symbol
2023-01-13,$134.76,57809720,$132.03,$134.92,$131.66,24.0,0.379,AAPL.US
2023-01-17,$135.94,63646630,$134.83,$137.29,$134.13,38.0,0.5684,AAPL.US
2023-01-18,$135.21,69672800,$136.815,$138.61,$135.03,37.0,0.2436,AAPL.US
2023-01-19,$135.27,58280410,$134.08,$136.25,$133.77,11.0,0.7244,AAPL.US
2023-01-20,$137.87,80223630,$135.28,$138.02,$134.22,16.0,0.3608,AAPL.US
2023-01-23,$141.11,81760310,$138.12,$143.315,$137.90,28.0,0.5641,AAPL.US
2023-01-24,$142.53,66435140,$140.305,$143.16,$140.30,22.0,0.6312,AAPL.US
2023-01-25,$141.86,65799350,$140.89,$142.43,$138.81,15.0,0.4301,AAPL.US
2023-01-26,$143.96,54105070,$143.17,$144.25,$141.90,16.0,0.5189,AAPL.US
2023-01-27,$145.93,70555840,$143.155,$147.23,$143.08,25.0,0.3045,AAPL.US
2023-01-30,$143.00,64015270,$144.955,$145.55,$142.85,53.0,0.3511,AAPL.US
2023-01-31,$144.29,65874460,$142.70,$144.34,$142.28,32.0,0.31,AAPL.US
2023-02-01,$145.43,77663630,$143.97,$146.61,$141.32,35.0,0.5118,AAPL.US
2023-02-02,$150.82,118339000,$148.90,$151.18,$148.17,59.0,0.3336,AAPL.US
2023-02-03,$154.50,154357300,$148.03,$157.38,$147.83,73.0,0.2549,AAPL.US
2023-02-06,$151.73,69858310,$152.575,$153.10,$150.78,20.0,0.0339,AAPL.US
2023-02-07,$154.65,83322550,$150.64,$155.23,$150.64,18.0,0.4454,AAPL.US
2023-02-08,$151.92,64120080,$153.88,$154.58,$151.168,24.0,0.5498,AAPL.US
2023-02-09,$150.87,56007140,$153.775,$154.33,$150.42,13.0,0.6005,AAPL.US
2023-02-10,$151.01,57450710,$149.46,$151.3401,$149.22,21.0,0.494,AAPL.US
2023-02-13,$153.85,62199010,$150.952,$154.26,$150.92,14.0,0.7237,AAPL.US
2023-02-14,$153.20,61707570,$152.12,$153.77,$150.86,23.0,0.4118,AAPL.US
2023-02-15,$155.33,65669250,$153.11,$155.50,$152.88,26.0,0.6587,AAPL.US
2023-02-16,$153.71,68167940,$153.51,$156.33,$153.3475,18.0,0.6074,AAPL.US
2023-02-17,$152.55,59144120,$152.35,$153.00,$150.85,16.0,0.5927,AAPL.US
2023-02-21,$148.48,58867230,$150.20,$151.30,$148.405,13.0,0.1632,AAPL.US
2023-02-22,$148.91,51011310,$148.87,$149.95,$147.16,16.0,0.4751,AAPL.US
2023-02-23,$149.40,48394250,$150.09,$150.34,$147.24,18.0,0.7048,AAPL.US
2023-02-24,$146.71,55469610,$147.11,$147.19,$145.7202,19.0,0.6464,AAPL.US
2023-02-27,$147.92,44998470,$147.71,$149.17,$147.45,21.0,0.5572,AAPL.US
2023-02-28,$147.41,50547000,$147.05,$149.08,$146.83,23.0,0.3021,AAPL.US
